Chinese,part,English
姐；妹,n.,sister
坐,vi.,"sit(sat, sat)"
形势，情况．,n.,situation
六,num.,six
十六,num.,sixteen
第六,num.,sixth
六十,num.,sixty
尺寸，大小,n.,size
溜冰，滑冰,vi.,skate
技能，技巧,n.,skill
女裙,n.,skirt
天；天空,n.,sky
睡觉,vi,"sleep(slept, slept)"
睡觉,n.,sleep
想睡的；困倦的；瞌睡的,a.,sleepy
慢慢地，缓慢地,ad.,slow/slowly
小的，少的,a.,small
灵巧的；伶俐的；（人、服装等）时髦的；帅的,a.,smart
嗅，闻到；发气味,v.,"smell (-ed,-ed或smelt, smelt)"
气味,n.,smell
微笑,n.& n..,smile
烟,n.,smoke
冒烟；吸烟,v.,smoke
光滑的；平坦的,a.,smooth
蛇,n.,snake
雪,n.,snow
下雪,v.,snow
雪(白)的；下雪的；多(积)雪的,a,snowy
如此，这么，非常；同样,ad.,so
因此，所以,conj.,so
以便，为的是,,so as to
肥皂,n.,soap
社会的；社交的,a.,social
社会,n.,society
短袜,n.,socks
（长）沙发,a.,sofa
(表示程度，范围)就……，尽……,,so far as 
到目前为止,,so far 
软的；柔软的,a.,soft
士兵，战士,n.,soldier
结实的；固体的,a.,solid
固体,n.,solid
只要,,so long as 
解决；解释；偿还,v.,solve 
一些，若干；有些；某一,a.,some
若干，一些,pron.,some
某人；有人；有名气的人,pron.,somebody
某一个人,pron.,someone
某事；某物,pron.,something
有时,ad.,sometimes
在某处,ad.,somewhere
儿子,n.,son
歌唱；歌曲,n.,song
不久，很快，一会儿,ad.,soon
迟早；早晚,,sooner or later 
对不起，抱歉；难过的,a.,sorry
把……分类，拣选,vt,sort
种类，类别,n.,sort
太……以至于……,,so…that 
听起来；发出声音,vi.,sound
声音,n.,sound
汤,n.,soup
酸的,a.,sour
南(方)的；向南的；从南来的,a.,south
南；南方；南风；南部,n.,south
南部的，南方的,a.,southern
空间,n.,space
节约，节省,vt.&n.&vi,spare
多余的,a.,spare
说，讲；谈话；发言,v.,"speak (spoke, spoken)"
演讲人，演说家,n.,speaker
特别的，专门的,a.,special
演讲,n.,speech
速度,n.,speed
(使)加速,v.,"speed(sped, sped)"
加快速度,,speed up  
拼写,v.,"spell (-ed,-ed或spelt,spelt)"
度过；花费(钱、时间等),v.,"spend(spent, spent)"
在……花钱,,spend …on  
精神,n.,spirit
匙，调羹,n.,spoon
"体育运动,锻炼；运动会",n.,sport(英p1．)
延伸；展开,v.,"spread (spread, spread)"
春天，春季,n.,spring
广场,n.,square
楼梯,n.,stairs
邮票,n.,stamp
站；立；起立；坐落；忍受,v.,"stand(stood, stood)"
代表,,stand for 
标准（的）,n.&a.,standard
星，恒星,n.,star
开始，着手；出发,v.,start
状态；情形；国家，(美国的)州,n.,state
站，所，车站；电台,n.,station
停留，逗留，呆,n.&vi.,stay
偷；窃取,vt.,"steal(stole, stolen)"
汽；水蒸气,n.,steam
钢，钢铁,n.,steel
脚步，台阶，梯级,n.,step
走；跨步,vi.,step
粘住，钉住；坚持,vi,"stick(stuck, stuck)"
木棒(棍)，枝条,n.,stick
仍然，还,ad.,still
胃，胃部,n.,stomach
胃疼；肚子疼,n.,stomachache
石头，石料,n.,stone
忍．停；(停车)站”,n.,stop
停，停止，阻止,v.,stop
停止做某事（不再做……）,,stop doing sth. 
停下来做某事（开始做……）,,stop to do sth. 
商店,n.,store
储藏，存储,vt.,store
风暴，暴(风)雨,n.,storm
故事，小说,n.,story
直的；坦率的,a.&ad,straight
奇怪的，奇特的，陌生的,a.,strange
陌生人，外人,n.,stranger
草莓,n.,strawberry
小河；溪流,n.,stream
街，街道,n.,street
压力（给…压力）,vt.&n.,stress
严格的，严密的,a.,strict
强(壮)的；坚固的；强烈的；坚强的,a.,strong
学生,n.,student
学习；研究,v.,study
书房,n.,study
愚蠢的，笨的,a.,stupid
风格,n.,style
题目；主题；学科；主语,n.,subject
成功,vi.,succeed
成功,n.,success
成功的，有成就的,a.,successful
那么,ad.,such
(泛指)人，事物,pron.,such
这样的，那样的,a.,such
例如,,such as 
突然的,a.,sudden
糖,n.,sugar
建议，提议,vt.,suggest
建议,n.,suggestion
夏天，夏季,n.,summer
太阳，阳光,n.,sun 
星期日,n.,Sunday
晴朗的；阳光充足的,a.,sunny
超级市场,n.,supermarket
晚餐，晚饭,n.,supper
供给，供应,vt.&n.,supply
支持，支撑,vt.&n.,support
猜想，假定，料想,vt.,suppose
确信，肯定口,a.,sure
(口语)的确，一定，当然,ad.,sure
表面,n.,surface
使惊奇，使诧异,vt.,surprise
惊奇，诧异,n.,surprise
调查，测量,vt.&n.,survey
厚运动衫，毛衣,n.,sweater
扫除，扫,v.,"sweep(swept, swept)"
甜食；蜜饯；甜点；糖果；芳香,n.,sweet
甜的；新鲜的；可爱的；亲切的,a.,sweet
游泳，游,vi.,"swim(swam, swum)"
游泳,n.,swimming
秋千；摆动；挥动,n.,swing
摇摆；荡向,v.,swing
象征，标志；符号,n.,symbol
系统；制度；身体,n.,system
桌子，表格,n.,table
乒乓球,n.,table tennis
（动物的）尾巴,n.,tail
拿；拿走；做；服用；乘坐；花费,vt.,"take(took, taken)"
拿走,,take away 
别着急；别紧张,,take it easy 
脱下；起飞,,take off 
从容；慢慢行动,,take one’s time
取出,,take out
发生,,take place
取代，代替,,take the place of
占去，占据（时间、地位等）,,take up
天资；人才,n.,talent
故事，传说,n.,tale
谈话，讲话，演讲；交谈,n.&v.,talk
谈论；议论,,talk about 
谈论，议论,,talk of
高的,a.,tall
磁带；录音带,n.,tape
任务，工作,n.,task
品尝，尝味；味道,n.,taste
品尝，尝味,vt.,taste
出租汽车,n.,taxi
茶；茶叶,n.,tea
教书，教,v.,"teach(taught, taught)"
教师，教员,n.,teacher
队，组,n.,team 
技术,n.,technology
青少年,n.,teenager(=teen)
打电话,v.,telephone
电话,n.,telephone
电视；电视机,n.,television=TV
告诉；讲述；吩咐,vt.,"tell(told, told)"
温度,n.,temperature
十,num.,ten
网球,n.,tennis
第十,num.,tenth
帐篷,n.,tent
学期；术语；条款；项,n.,term
可怕的；糟糕的,a.,terrible
测试，考查，试验,vi.&n.,test
文本，课文,n.,text
比,conj.,than
感谢，致谢，道谢,vt.,thank
感谢，谢意,n.(pl.),thanks
那，那个,a.&pron.,that
那，那个(引导宾语从句等),conj.,that
这(那)个，这(那)些(用于特定人或物、序数词、最高级、专有名词，世上独一无二事物前),art.,the
后天,,the day after tomorrow 
前天,,the day before yesterday
越……就越……,,the more… the more
前几天；某日,,the other day
剧场，戏院,n.,theatre(美theatre)
他(或她、它)们的,pron.,their
他们的,pron.,theirs
他／她／它们(宾格),pron.,them
他／她／它们自己,pron.,themselves
当时，那时；然后；那么(通常用于句首或句尾),ad.,then
那!你瞧(表示引起注意)  ,int.,there
那里，那儿,n.,there
在那里，往那里；(作引导词)表示“存在”,ad.,there
这些,a.&pron.,these
他(她)们；它们；人们,pron.,they
厚的,a.,thick
薄的；瘦的；稀的,a.,thin
东西；(pl．)物品，用品；事情，事件,n.,thing
想；认为；考虑,v.,"think(thought, thought)"
考虑（是否去做）,,think about
想起；考虑；认为；看法,,think of 
第三,num.,third
渴的,a.,thirsty
十三,num.,thirteen
三十,num.,thirty
这，这个,a.& pron.,this
那些,a.& pron.,those
虽然，可是,conj.,though
思考，思想；念头,n.,thought
千,num.,thousand
成千上万；几千,,thousands of
线,n.,thread
three n／zm．三,num.,three
穿(通)过；从始至终,prep.,through
穿(通)过；自始至终，全部,ad.,through
投，掷，扔,v.,"throw(threw, thrown)"
扔掉,,throw away 
星期四,n.,Thursday
票；卷,n.,ticket
整洁的，干净的,a.,tidy
 (用绳，线)系，拴，扎,vt.,tie
领带，绳子，结；关系,n.,tie
老虎,n.,tiger
直到，直到……为止,conj.,till
时间；时期；钟点；次，回,n.,time
极小的，微小的,a.,tiny
疲劳的，累的,a.,tired
冠军；标题；头衔；权利；字幕；加标题于；赋予头衔；把…称为；冠军的；标题的；头衔的,n. &v.&a.,title
 (动词不定式符号，无词义)；(表示接受动作的人或物)给；对，向，到；在……之前,prep.,to
今天；现在，当前,ad.&n.,today
一起，共同,ad.,together
厕所,n.,toilet
西红柿，番茄,n.,tomato
明天,ad.&n.,tomorrow
(重量单位) 吨,n.,ton
舌，舌头,n.,tongue
今晚，今夜,ad.&n.,tonight
也，还；又；太，过分；很，非常,ad.,too
太……以至于不……,,too…to…
工具，器具,n.,tool
牙齿,n.,tooth (pl. teeth)
牙痛,n.,toothache
牙刷,n.,toothbrush
牙膏,n.,toothpaste
顶部，(物体的)上面,n.,top
主题；题目；一般规则；总论,n.,topic
总数的；总括的；完全的，全然的,a.,total
合计，总计,n.,total
触摸，接触,vt.&n.,touch
参观，观光，旅行,n./v,tour
旅行者，观光者,n.,tourist
向，朝，对于,prep.,toward(s)
毛巾,n.,towel
塔；要害地；楼塔,n.,tower
高耸；远远高于，远超过,v.,tower
城镇；城,n.,town
玩具；玩物,n.,toy
贸易,n.,trade
传统的,a.,traditional
交通，来往车辆,n.,traffic
火车,n.,train
培训，训练,v.,train
培训,n.,training
翻译,vt.,translate
旅行,n.&vi.,travel
金银财宝；财富,n.,treasure
治疗；对待；探讨；视为；请客；协商；款待,v.&n.,treat
治疗，疗法,n.,treatment
树,n.,tree
旅行，旅程,n.,trip
使苦恼，使忧虑，使麻烦,vt.,trouble
问题，疾病，烦恼，麻烦,n.,trouble
裤子，长裤,n.,trousers
卡车，运货车；车皮,n.,truck
真的，真实的；忠诚的,a.,1
相信，信任，信赖,vt.,trust
真理，事实，真相，实际情况,n.,truth
试，试图，努力,v.,try
试穿；试试看,,try on 
试验,,try out 
关小；调低,,turn down
关掉（水、电视、收音机等）,,turn off
打开（水、电视、收音机等）,,turn on
翻动；梨翻（土地）,,turn over
到达；来到；开大（声音等）,,turn up
T恤衫,n.,T-shirt
星期二,n.,Tuesday
旋转，翻转，转变，转弯,v.,turn
轮流，(轮流的)顺序,n.,turn
第十二,num.,twelfth
十二,num.,twelve
第二十,num.,twentieth
二十,num.,twenty
两次；两倍,ad.,twice
二,num.,two
典型的；特有的；有象征的,a.,typical
丑陋的；难看的,a.,ugly
联合王国；英国,abbr. &n.,UK
雨伞,n.,umbrella
叔；伯；舅；姑夫；姨父,n.,uncle
在……下面，向……下面,prep.,under
地下的,a.,underground
地铁,n.,underground
强调；在…下面划线；预告；下划线；下期节目预告,v. &n.,underline
懂得；明白；理解,v.,understand
,,"(understood, ~)"
单元，单位,n.,unit
大学,n.,university
如果不；除非,conj.,unless
直到……为止,prep.&,until(till)
向上；在上方；起来；在……以上,ad.,up
向(高处)；向(在)……上(面)游,prep.,up
上下，来回,,up and down 
在……上面,prep.,upon
使心烦；颠覆；扰乱；翻到；心烦的；混乱的；弄翻的；混乱；颠倒,v. &a. &n.,upset
在楼上，到楼上,ad.,upstairs
我们(宾格),pron.,us
美国（United States）,abbr.,US
利用，使用，应用,n.&vt.,use
用过的,a.,used
过去常常,,used to do sth.
习惯于,,used to sth
有用的，有益的,a.,useful
无用的,a.,useless
通常的，平常的,a.,usual
通常，经常,ad. ,usually
假期，休假,n.,vacation
有价值的；贵重的；可估价的；贵重物品,a. &n. ,valuable
价值，益处,n.,value
各种各样的；多方面的,adj. ,various
蔬菜,n.,vegetable
运输工具，车辆,n.,vehicle
很，非常,ad.,very
胜利,n.,victory
录像，视频,n.,video
村庄，乡村,n.,village
小提琴,n.,violin
参观，访问，拜访,n.&vt.,visit
访问者，参观者,n.,visitor
说话声；语态,n.,voice
排球,n.,volleyball
志愿者；志愿兵；志愿的；自愿；自愿,n. /a./v.,volunteer
等，等候,vi.,wait
等候，等待,,wait for 
醒，醒来，叫醒,v.,"wake(woke, woken)"
醒来,,wake up
步行，散步,v.&n.,walk
墙,n.,wall
钱包，皮夹,n. ,wallet
想，想要，需要，必要,v.,want
战争,n.,war
暖和的，温暖的，热情的,a.,warm
警告，预先通知,vt.,warn
洗(涤)，冲洗,v.,wash
浪费,n.&vt.,waste
观看，注视；当心，注意,vt.,watch
手表，表,n.,watch
水,n.,water
西瓜,n.,watermelon
路，路线，方式，手段,n.,way
我们,pron.,we
差的，弱的，淡的,a.,weak
财产，财富,n.,wealth
穿，戴,v.,"wear(wore, worn)"
天气,n.,weather
(互联网)网站,n.,website
星期三,n.,Wednesday
星期，周,n.,week
平日,n.,weekday
周末,n.,weekend
称……的重量，重(若干),vt.,weigh
重，重量,n.,weight
欢迎,int.n.&v.,welcome
受欢迎的,a.,welcome
好,ad.,"well(better, best)"
好的，健康的,a.,well
表示惊讶、同意,int.,well
(在)西的，向西的，从西来的,a.,west
西部，西方,n.,west
西方的，西部的,a.,western
湿的，潮的，多雨的,a.,wet
鲸,n.,whale
什么，怎么样,pron.,what
多么，何等，什么,a.,what
无论什么，不管什么,conj.&,whatever
小麦,n.,wheat
轮，机轮,n.,wheel
当……的时候,conj.,when
什么时候，何时,ad.,when
每当，无论何时,conj.,whenever
在哪里，往哪里,ad.,where
是否,conj.,whether
那（哪）个；那（哪）一些,pron.,which
这（哪）个；这（哪）些,a.,which
在……的时候，和……同时,conj.,while
一会儿，一段时间,n.while
白色的,a.,white
白色,n.,white
谁,pron.,who
整个的；全部的,a.,whole
(who)的宾格,pron.,whom
谁的,pron.,whose
为什么,ad.&int.,why
宽阔的,a.,wide
妻子,n.,wife
野生的；野蛮的；狂热的；荒凉的；荒野；疯狂地；胡乱地,a.& n.& ad.,wild
将，会(表示将来)，愿意，要,modal v.,"will (would,-)"
获胜，赢得,v.,"win(won, won)"
风,n.,wind
窗户,n.,window
有风的，多风的,a.,windy
酒,n.,wine
翅膀,n.,wing
获胜者,n.,winner
冬天，冬季,n.,winter
聪明的，英明的，有见识的,a.,wise
愿望，祝愿,n.,wish
希望，想要，祝愿,vt.,wish
关于，带有，以，和，用，有,prep.,with
没有,prep.,without
狼,n.,wolf(pl. wolves)
妇女，女人,n.,woman(pl. women)
对……疑惑，感到惊奇，想知道,v.,wonder
美妙的，精彩的，了不起的，太好了,a.,wonderful
木头，木材,n.,wood
词，单词，话,n.,word
工作，劳动，事情”,n.,work
工作，(机器、器官等)运转，活动,v.,work
算出，解决,,work out 
工人，工作者,n.,worker
世界,n.,world
烦恼，担忧，发怒，困扰,v.,worry
担心，烦恼,,worry about
更坏的；更差的；更恶劣的；（病情）更重的；更糟；更坏；更恶劣地；更坏地；更坏的事；更恶劣的事,a.&ad&n..,worse
最差的，最坏的；最不利的；效能最低的,adj. ,worst
最坏；最坏的时候,n. ,worst
最坏地；最不利地,adv.,worst
有……的价值，值得……的,a.,worth
"将,会；打算；想要",modal.v.,would (will的过去时)
伤，伤害,vt.,wound
创伤，伤口,n.,wound
写，书写，写作，著述,v.,"write(wrote, written)"
写下，记下,,write down
写信给,,write to
作家；作者,n.,writer
错误的，不正常的，有毛病的,a.,wrong
X射线，x光,n.,X-ray
码；院子；场地,n.,yard
年,n.,year
黄色,n.,yellow
黄色的,a.,yellow
是，好，同意,ad.,yes
昨天,n.&ad.,yesterday
尚，还，仍然,ad.,yet
你；你们,pron.,you
年轻的,a.,young
你的；你们的,pron.,your
你的；你们的(名词性物主代词),pron.,yours
你自己,pron.,yourself(pl. yourselves)
班马,n.,zebra
零；零度；零点,n.&num.,zero
动物园,n.,zoo
